"chemical","cas"
"50-00-0","FM"
"50-29-3","II"
"50-31-7","II"
"50-65-7","U"
"51-03-6","U"
"51-14-9","O"
"52-51-7","II"
"52-68-6","II"
"52-85-7","Ib"
"54-11-5","Ib"
"55-38-9","II"
"56-35-9","II"
"56-38-2","Ia"
"56-72-4","Ib"
"57-24-9","Ib"
"57-74-9","II"
"58-89-9","II"
"60-51-5","II"
"60-57-1","O"
"61-82-5","U"
"62-38-4","Ia"
"62-73-7","Ib"
"62-74-8","Ia"
"63-25-2","II"
"66-81-9","O"
"72-20-8","O"
"72-43-5","U"
"72-54-8","O"
"74-83-9","FM"
"74-88-4","II"
"74-90-8","FM"
"75-15-0","O"
"75-21-8","FM"
"75-56-9","II"
"75-60-5","II"
"75-99-0","U"
"76-03-9","II"
"76-06-2","FM"
"76-44-8","O"
"76-87-9","II"
"77-06-5","U"
"78-34-2","O"
"78-57-9","O"
"78-87-5","O"
"79-11-8","II"
"80-06-8","O"
"80-33-1","O"
"80-38-6","O"
"81-81-2","Ib"
"81-82-3","O"
"81-84-5","O"
"82-66-6","Ia"
"82-68-8","U"
"83-26-1","O"
"83-59-0","O"
"83-79-4","II"
"84-65-1","U"
"84-74-2","O"
"85-34-7","II"
"86-50-0","Ib"
"86-86-2","U"
"86-87-3","III"
"86-88-4","O"
"87-17-2","O"
"87-86-5","Ib"
"88-85-7","O"
"90-43-7","III"
"91-20-3","II"
"92-52-4","III"
"93-71-0","II"
"93-72-1","O"
"93-75-4","O"
"93-76-5","O"
"94-74-6","II"
"94-75-7","II"
"94-81-5","II"
"94-82-6","II"
"94-96-2","O"
"95-06-7","II"
"96-12-8","O"
"96-24-2","Ib"
"97-17-6","O"
"97-23-4","II"
"99-30-9","III"
"101-05-3","III"
"101-21-3","U"
"101-27-9","II"
"101-42-8","O"
"103-17-3","O"
"106-46-7","II"
"106-93-4","FM"
"107-02-8","Ib"
"107-06-2","FM"
"107-13-1","FM"
"107-18-6","Ib"
"107-49-3","O"
"108-25-8","O"
"108-62-3","II"
"112-12-9","III"
"50-00-0","FM"
"50-29-3","II"
"50-31-7","II"
"50-65-7","U"
"51-03-6","U"
"51-14-9","O"
"52-51-7","II"
"52-68-6","II"
"52-85-7","Ib"
"54-11-5","Ib"
"55-38-9","II"
"56-35-9","II"
"56-38-2","Ia"
"56-72-4","Ib"
"57-24-9","Ib"
"57-74-9","II"
"58-89-9","II"
"60-51-5","II"
"60-57-1","O"
"61-82-5","U"
"62-38-4","Ia"
"62-73-7","Ib"
"62-74-8","Ia"
"63-25-2","II"
"66-81-9","O"
"72-20-8","O"
"72-43-5","U"
"72-54-8","O"
"74-83-9","FM"
"74-88-4","II"
"74-90-8","FM"
"75-15-0","O"
"75-21-8","FM"
"75-56-9","II"
"75-60-5","II"
"75-99-0","U"
"76-03-9","II"
"76-06-2","FM"
"76-44-8","O"
"76-87-9","II"
"77-06-5","U"
"78-34-2","O"
"78-57-9","O"
"78-87-5","O"
"79-11-8","II"
"80-06-8","O"
"80-33-1","O"
"80-38-6","O"
"81-81-2","Ib"
"81-82-3","O"
"81-84-5","O"
"82-66-6","Ia"
"82-68-8","U"
"83-26-1","O"
"83-59-0","O"
"83-79-4","II"
"84-65-1","U"
"84-74-2","O"
"85-34-7","II"
"86-50-0","Ib"
"86-86-2","U"
"86-87-3","III"
"86-88-4","O"
"87-17-2","O"
"87-86-5","Ib"
"88-85-7","O"
"90-43-7","III"
"91-20-3","II"
"92-52-4","III"
"93-71-0","II"
"93-72-1","O"
"93-75-4","O"
"93-76-5","O"
"94-74-6","II"
"94-75-7","II"
"94-81-5","II"
"94-82-6","II"
"94-96-2","O"
"95-06-7","II"
"96-12-8","O"
"96-24-2","Ib"
"97-17-6","O"
"97-23-4","II"
"99-30-9","III"
"101-05-3","III"
"101-21-3","U"
"101-27-9","II"
"101-42-8","O"
"103-17-3","O"
"106-46-7","II"
"106-93-4","FM"
"107-02-8","Ib"
"107-06-2","FM"
"107-13-1","FM"
"107-18-6","Ib"
"107-49-3","O"
"108-25-8","O"
"108-62-3","II"
"112-12-9","III"
"113-48-4","III"
"114-26-1","II"
"115-26-4","O"
"115-29-7","II"
"115-31-1","O"
"115-32-2","II"
"115-78-6","II"
"115-90-2","O"
"116-01-8","O"
"116-06-3","Ia"
"116-16-5","O"
"116-29-0","U"
"117-18-0","U"
"118-74-1","Ia"
"118-75-2","O"
"119-12-0","II"
"120-23-0","II"
"120-36-5","II"
"120-62-7","O"
"121-75-5","III"
"122-14-5","II"
"122-34-9","U"
"122-42-9","U"
"122-88-3","II"
"123-33-1","U"
"123-88-6","O"
"124-58-3","II"
"126-07-8","O"
"126-22-7","O"
"126-75-0","O"
"129-67-9","II"
"131-11-3","U"
"131-72-6","III"
"131-89-5","O"
"132-66-1","U"
"133-06-2","U"
"133-07-3","U"
"133-90-4","O"
"134-31-6","O"
"134-62-3","III"
"136-25-4","O"
"137-26-8","II"
"137-30-4","II"
"137-42-8","II"
"139-40-2","U"
"140-41-0","O"
"140-56-7","O"
"140-57-8","O"
"141-03-7","O"
"141-66-2","Ib"
"142-59-6","II"
"143-33-9","Ib"
"143-50-0","O"
"148-79-8","III"
"149-26-8","O"
"150-68-5","O"
"152-16-9","O"
"156-62-7","O"
"297-78-9","O"
"297-97-2","O"
"297-99-4","1a"
"298-00-0","Ia"
"298-02-2","Ia"
"298-03-3","O"
"298-04-4","Ia"
